Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
5.082871000000000,0,208,107,Write,ACK
5.082966100000000,0,208,128,Write,ACK
5.183198700000000,1,208,107,Write,ACK
5.183293900000000,1,208,0,Write,ACK
5.183535500000000,2,208,6,Write,ACK
5.183760800000000,3,209,1,Read,ACK
5.183857000000000,3,209,60,Read,ACK
5.183953200000000,3,209,1,Read,ACK
5.184049300000000,3,209,209,Read,ACK
5.184145500000000,3,209,3,Read,ACK
5.184241600000000,3,209,212,Read,NAK
5.184544800000000,4,208,27,Write,ACK
5.184640000000000,4,208,24,Write,ACK
5.184881600000000,5,208,28,Write,ACK
5.184976800000000,5,208,0,Write,ACK
5.185233200000000,6,208,25,Write,ACK
5.185328400000000,6,208,9,Write,ACK
5.185585000000000,7,208,26,Write,ACK
5.185680200000000,7,208,3,Write,ACK
5.185926700000000,8,208,56,Write,ACK
5.186021900000000,8,208,0,Write,ACK
5.186263400000000,9,208,106,Write,ACK
5.186488600000000,10,209,0,Read,NAK
5.186746800000000,11,208,106,Write,ACK
5.186842000000000,11,208,32,Write,ACK
5.190088200000000,12,208,55,Write,ACK
5.190183400000000,12,208,128,Write,ACK
5.190424900000000,13,208,107,Write,ACK
5.190520100000000,13,208,64,Write,ACK
5.190761600000000,14,208,108,Write,ACK
5.190856800000000,14,208,63,Write,ACK
5.241108900000000,15,208,107,Write,ACK
5.241204000000000,15,208,1,Write,ACK
5.241445600000000,16,208,108,Write,ACK
5.241540800000000,16,208,0,Write,ACK
5.291792900000000,17,208,56,Write,ACK
5.291888100000000,17,208,1,Write,ACK
5.292129500000000,18,208,56,Write,ACK
5.292224700000000,18,208,0,Write,ACK
5.292471300000000,19,208,35,Write,ACK
5.292566500000000,19,208,0,Write,ACK
5.292808100000000,20,208,106,Write,ACK
5.292903300000000,20,208,0,Write,ACK
5.293144800000000,21,208,106,Write,ACK
5.293240000000000,21,208,4,Write,ACK
5.293486600000000,22,208,106,Write,ACK
5.293581800000000,22,208,64,Write,ACK
5.343824000000000,23,208,56,Write,ACK
5.343919100000000,23,208,1,Write,ACK
5.344160700000000,24,208,35,Write,ACK
5.344255900000000,24,208,120,Write,ACK
5.344512400000000,25,208,25,Write,ACK
5.344607500000000,25,208,19,Write,ACK
5.344864000000000,26,208,26,Write,ACK
5.344959200000000,26,208,4,Write,ACK
5.345240700000000,27,208,109,Write,ACK
5.345335900000000,27,208,0,Write,ACK
5.345431100000000,27,208,0,Write,ACK
5.345742600000000,28,208,111,Write,ACK
5.345837800000000,28,208,0,Write,ACK
5.345933000000000,28,208,0,Write,ACK
5.346028100000000,28,208,112,Write,ACK
5.346123300000000,28,208,0,Write,ACK
5.346218500000000,28,208,0,Write,ACK
5.346313700000000,28,208,0,Write,ACK
5.346408900000000,28,208,0,Write,ACK
5.346504000000000,28,208,36,Write,ACK
5.346599200000000,28,208,0,Write,ACK
5.346694400000000,28,208,0,Write,ACK
5.346789600000000,28,208,0,Write,ACK
5.346884800000000,28,208,2,Write,ACK
5.346979900000000,28,208,0,Write,ACK
5.347075100000000,28,208,3,Write,ACK
5.347170300000000,28,208,0,Write,ACK
5.347265500000000,28,208,0,Write,ACK
5.347512100000000,29,208,109,Write,ACK
5.347607300000000,29,208,0,Write,ACK
5.347702400000000,29,208,0,Write,ACK
5.347944000000000,30,208,111,Write,ACK
5.348169200000000,31,209,0,Read,ACK
5.348265400000000,31,209,0,Read,ACK
5.348361600000000,31,209,112,Read,ACK
5.348457700000000,31,209,0,Read,ACK
5.348553900000000,31,209,0,Read,ACK
5.348650000000000,31,209,0,Read,ACK
5.348746200000000,31,209,0,Read,ACK
5.348842300000000,31,209,36,Read,ACK
5.348938500000000,31,209,0,Read,ACK
5.349034700000000,31,209,0,Read,ACK
5.349130900000000,31,209,0,Read,ACK
5.349227100000000,31,209,2,Read,ACK
5.349323200000000,31,209,0,Read,ACK
5.349419400000000,31,209,3,Read,ACK
5.349515600000000,31,209,0,Read,ACK
5.349611700000000,31,209,0,Read,NAK
5.350009700000000,32,208,109,Write,ACK
5.350104800000000,32,208,0,Write,ACK
5.350200000000000,32,208,16,Write,ACK
5.350506600000000,33,208,111,Write,ACK
5.350601700000000,33,208,0,Write,ACK
5.350696900000000,33,208,101,Write,ACK
5.350792000000000,33,208,0,Write,ACK
5.350887200000000,33,208,84,Write,ACK
5.350982300000000,33,208,255,Write,ACK
5.351084200000000,33,208,239,Write,ACK
5.351179400000000,33,208,0,Write,ACK
5.351274600000000,33,208,0,Write,ACK
5.351369700000000,33,208,250,Write,ACK
5.351464900000000,33,208,128,Write,ACK
5.351560100000000,33,208,0,Write,ACK
5.351655300000000,33,208,11,Write,ACK
5.351750400000000,33,208,18,Write,ACK
5.351845500000000,33,208,130,Write,ACK
5.351940700000000,33,208,0,Write,ACK
5.352035900000000,33,208,1,Write,ACK
5.352282500000000,34,208,109,Write,ACK
5.352377600000000,34,208,0,Write,ACK
5.352472800000000,34,208,16,Write,ACK
5.352714300000000,35,208,111,Write,ACK
5.352939500000000,36,209,0,Read,ACK
5.353035700000000,36,209,101,Read,ACK
5.353131800000000,36,209,0,Read,ACK
5.353228000000000,36,209,84,Read,ACK
5.353324200000000,36,209,255,Read,ACK
5.353420400000000,36,209,239,Read,ACK
5.353516500000000,36,209,0,Read,ACK
5.353612700000000,36,209,0,Read,ACK
5.353708900000000,36,209,250,Read,ACK
5.353805100000000,36,209,128,Read,ACK
5.353901300000000,36,209,0,Read,ACK
5.353997400000000,36,209,11,Read,ACK
5.354093600000000,36,209,18,Read,ACK
5.354189800000000,36,209,130,Read,ACK
5.354286000000000,36,209,0,Read,ACK
5.354382100000000,36,209,1,Read,NAK
5.354780100000000,37,208,109,Write,ACK
5.354875200000000,37,208,0,Write,ACK
5.354970400000000,37,208,32,Write,ACK
5.355281900000000,38,208,111,Write,ACK
5.355377100000000,38,208,3,Write,ACK
5.355472200000000,38,208,12,Write,ACK
5.355567400000000,38,208,48,Write,ACK
5.355662600000000,38,208,195,Write,ACK
5.355757800000000,38,208,14,Write,ACK
5.355853000000000,38,208,140,Write,ACK
5.355948100000000,38,208,140,Write,ACK
5.356043300000000,38,208,233,Write,ACK
5.356138500000000,38,208,20,Write,ACK
5.356233700000000,38,208,213,Write,ACK
5.356328900000000,38,208,64,Write,ACK
5.356424000000000,38,208,2,Write,ACK
5.356519200000000,38,208,19,Write,ACK
5.356614400000000,38,208,113,Write,ACK
5.356709600000000,38,208,15,Write,ACK
5.356804800000000,38,208,142,Write,ACK
5.357051400000000,39,208,109,Write,ACK
5.357146500000000,39,208,0,Write,ACK
5.357241700000000,39,208,32,Write,ACK
5.357483200000000,40,208,111,Write,ACK
